Day,Last Price
0,388
1,384.95
2,384.3
3,383.85
4,392.7
5,413.8
6,418
7,427
8,427.7
9,432.7
10,419.4
11,419.25
12,424.75
13,438
14,433
15,442.1
16,438.9
17,446.85
18,439.45
19,448.25
20,454.5
21,458
22,456
23,443.3
24,447.05
25,445.1
26,434.4
27,424
28,424.65
29,424.25
30,418.75
31,427.65
32,429.95
33,418.95
34,387.7
35,392.9
36,390.4
37,385
38,398.85
39,396.95
40,396.35
41,396.3
42,376.2
43,394.1
44,395.95
45,409
46,405.75
47,414.75
48,404.05
49,395
50,400
51,405.5
52,392.1
53,393.65
54,403
55,399.65
56,400
57,401.2
58,398.1
59,396
60,388
61,387.45
62,391
63,397
64,395
65,399
66,395.2
67,402.5
68,401.05
69,401.15
70,402.4
71,398.4
72,399.9
73,398.5
74,398.5
75,400
76,399.85
77,403
78,407.15
79,405.2
80,401.55
81,396.95
82,400
83,392.45
84,398.7
85,400
86,393.35
87,399.9
88,399.2
89,403.5
90,409
91,408.2
92,412.05
93,413.95
94,402.9
95,409.1
96,407.55
97,401.9
98,400
99,403.85
100,406.55
101,409.8
102,411.5
103,417.6
104,421.7
105,418.55
106,420.5
107,432.25
108,430.8
109,430.7
110,428.5
111,427.1
112,422
113,412.05
114,414.4
115,414.55
116,413.75
117,417.9
118,424.8
119,428.4
120,424.95
121,439
122,432.4
123,433.4
124,433.65
125,430.45
126,429.3
127,425.35
128,428.3
129,432
130,424.7
131,444.9
132,448.5
133,440.5
134,446.55
135,441.9
136,441
137,438.5
138,435
139,426.8
140,417
141,414.6
142,407.3
143,397.5
144,405.95
145,396.5
146,397.7
147,400.1
148,399.2
149,402.15
150,400.3
151,395
152,389.55
153,397.05
154,388.05
155,389
156,384
157,368
158,367.95
159,391.3
160,377.95
161,385.15
162,391.5
163,372.2
164,377.95
165,362
166,370.25
167,363.7
168,363.95
169,366.7
170,383.85
171,386.45
172,393.25
173,387.15
174,396.1
175,389.9
176,387.3
177,384.65
178,385.35
179,393
180,387.8
181,397
182,391.5
183,395
184,394.3
185,393
186,392
187,393.45
188,399.25
189,393.5
190,392.75
191,402.5
192,405
193,411.2
194,410.15
195,410.5
196,414.75
197,415.05
198,418
199,427.3
200,423.45
201,424.5
202,428.35
203,430
204,434.15
205,436.25
206,424.35
207,432.3
208,426.65
209,418.9
210,411.5
211,411
212,416.5
213,419.8
214,413.55
215,409.5
216,415.2
217,416.95
218,409.9
219,407.3
220,407
221,413.35
222,410.85
223,403.6
224,397
225,401.7
226,403.55
227,407
228,402.6
229,416
230,420.55
231,419.1
232,422.65
233,420.5
234,417.9
235,414
236,415.45
237,409.1
238,417.05
239,413.7
240,415.95
241,415.5
242,412.3
243,411
244,411
245,416.25
246,421.55
247,418.45
248,422.4
249,434.6
250,441
251,442.1
252,473.1
253,480.5
254,477
255,473.2
256,467.6
257,478.3
258,476.1
259,478.1
260,480.6
261,477.5
262,472
263,495.65
264,512.75
265,519.5
266,521.5
267,536.2
268,534
269,535.5
270,532.2
271,544.05
272,541.5
273,554.7
274,552.15
275,544.55
276,580.5
277,580.2
278,564.25
279,538.5
280,545
281,538.95
282,546.45
283,545.45
284,562.25
285,565
286,559.8
287,542.65
288,565.1
289,569.4
290,574
291,571.5
292,574
293,575.5
294,577
295,574
296,573.8
297,567.5
298,563
299,563
300,553.35
301,562.95
302,558.4
303,565.75
304,572.2
305,571
306,571.6
307,577.75
308,583
309,592
310,585.5
311,592
312,573.25
313,585
314,602.05
315,612
316,616.65
317,653
318,642.5
319,636
320,626.95
321,642.8
322,641.15
323,322.5
324,326.85
325,321.7
326,323.95
327,327.3
328,327.45
329,323.3
330,314.4
331,323.65
332,323.1
333,325
334,316
335,309.7
336,306.3
337,314.6
338,318
339,317.1
340,320.4
341,309
342,286.5
343,289.2
344,293.8
345,300
346,293.5
347,297
348,297.2
349,295
350,295.55
351,298.95
352,298.5
353,307
354,298
355,294.85
356,290.8
357,294.05
358,303
359,306.2
360,302.45
361,295.5
362,301.95
363,299.4
364,298.5
365,296.75
366,304.9
367,301.2
368,308.35
369,306.95
370,313
371,308
372,317.6
373,316.35
374,323.1
375,322.95
376,327.8
377,343.5
378,344.5
379,352.6
380,346.95
381,344.65
382,346.8
383,349.4
384,354
385,351
386,351.75
387,351
388,348.9
389,359.5
390,352.15
391,357.55
392,366.5
393,377.3
394,383.85
395,378
396,365
397,375
398,382.1
399,388
400,396
401,393.05
402,396.25
403,386
404,379.45
405,380
406,373.55
407,371
408,375.8
409,386.05
410,386.3
411,391.5
412,388.1
413,386.3
414,387
415,385
416,381.6
417,376.55
418,375.3
419,379.5
420,378.5
421,375.9
422,374.65
423,371.9
424,374.25
425,370.25
426,376.1
427,375.95
428,371.9
429,371.95
430,372.1
431,376.3
432,374.45
433,369.8
434,368.5
435,371.2
436,376
437,387
438,381
439,381
440,386
441,397.4
442,411.45
443,408.4
444,408.2
445,422
446,424.4
447,430.1
448,436.5
449,427.3
450,424.25
451,422.2
452,435.85
453,431.9
454,442.95
455,440.9
456,442
457,442
458,436.5
459,433.25
460,428.55
461,442.45
462,439.1
463,432.85
464,437
465,441.75
466,446.2
467,444.1
468,439.5
469,437
470,426
471,425.5
472,430
473,435.75
474,425.9
475,416.6
476,419
477,429.15
478,413.65
479,414.8
480,422.45
481,424
482,426.5
483,418.25
484,419.4
485,422
486,419.8
487,419.6
488,406.6
489,405
490,407
491,411.5
492,407.7
493,393.2
494,384.25
